WKT,nome,descrizione
"LINESTRING (12.2527526 41.7976338, 12.2534902 41.7979118, 12.2538979 41.7981117, 12.2543592 41.7984557, 12.254724 41.7988876, 12.2549024 41.7992555, 12.2549869 41.7995824, 12.2549386 41.7999963, 12.2548742 41.8003002, 12.2549131 41.8004692, 12.2548453 41.800584, 12.2548379 41.8007008, 12.2547749 41.8008867, 12.2547736 41.8010387, 12.2547199 41.8012706, 12.2546287 41.8014626)",Linea 39,
"LINESTRING (12.2526206 41.7994819, 12.252245 41.7996773, 12.2518481 41.7999292, 12.2516764 41.8002452, 12.251553 41.8004451, 12.2515262 41.8006611, 12.251494 41.800837)",Linea 40,
"LINESTRING (12.2522484 41.7990754, 12.2520412 41.7992654, 12.2518427 41.7994613, 12.2516979 41.7997013, 12.2515745 41.7999252, 12.2514672 41.8001692, 12.2512955 41.8004931, 12.2513224 41.800813)",Linea 41,
"LINESTRING (12.2519225 41.7984341, 12.2516657 41.7986575, 12.251494 41.7989215, 12.2513384 41.7991934, 12.2511131 41.7994613, 12.2509683 41.7997213, 12.250802 41.8000052, 12.2507484 41.8002852, 12.2506679 41.8004971, 12.2507269 41.800769)",Linea 42,
"LINESTRING (12.2514692 41.7978563, 12.2512097 41.7981376, 12.2509576 41.7985336, 12.250743 41.7989135, 12.2506143 41.7994054, 12.2505499 41.7998253, 12.2504909 41.8001812, 12.250464 41.8004531, 12.2505177 41.8006771, 12.2506196 41.800805)",Linea 43,
"LINESTRING (12.2511862 41.7972737, 12.2510099 41.7975861, 12.2508597 41.797922, 12.2505646 41.7985139, 12.2504627 41.7989418, 12.2503983 41.7993697, 12.2502589 41.7999336, 12.2502589 41.8003935, 12.2502589 41.8005774, 12.2504573 41.8008294)",Linea 44,
"LINESTRING (12.2548789 41.7968117, 12.254591 41.7970148, 12.2545374 41.7971508, 12.2545267 41.7973108, 12.2545267 41.7975907, 12.2547305 41.7977507, 12.25487 41.7980066, 12.2548914 41.7982146, 12.2549987 41.7986705, 12.2551167 41.7988624, 12.2554708 41.7992144, 12.255739 41.7995103, 12.2559858 41.7997502, 12.256254 41.7998702, 12.2567153 41.7998782, 12.2572303 41.7998302, 12.2578419 41.7996543, 12.2583139 41.7995503, 12.2586573 41.7999102, 12.258904 41.8004621, 12.2591508 41.800838, 12.2592795 41.8013658, 12.2593975 41.8018217, 12.2596658 41.8020137, 12.2601164 41.8022776, 12.2605026 41.8027495, 12.2612536 41.8030534, 12.2618652 41.8033013, 12.2623158 41.8034853, 12.2636462 41.8037412, 12.2644294 41.8037412, 12.265116 41.8036372, 12.2657705 41.8036372, 12.2666824 41.8037812, 12.2673691 41.8040771, 12.2683883 41.804301, 12.2685278 41.804453, 12.2688926 41.8047169, 12.2696972 41.8050208)",Linea 45,
"LINESTRING (12.2551123 41.7971727, 12.2547734 41.7974707, 12.2549022 41.7977827, 12.2552026 41.7981666, 12.2552777 41.7985185, 12.2554922 41.7989344, 12.2558463 41.7993343, 12.2563613 41.7995663, 12.2568655 41.7996383, 12.25752 41.7994623, 12.2580564 41.7994463, 12.2583032 41.7993983, 12.2585607 41.7995583, 12.2588826 41.7998462, 12.2591508 41.8003421, 12.2594726 41.800806, 12.2596443 41.8012219, 12.2600949 41.8017497, 12.2606957 41.8021736, 12.2609318 41.8024536, 12.2616291 41.8028055, 12.2619403 41.8029414, 12.2623909 41.8031813, 12.2632599 41.8033333, 12.2635389 41.8035332, 12.2645152 41.8035412, 12.2652984 41.8035172, 12.2660602 41.8035652, 12.2668755 41.8037172, 12.268045 41.8040131, 12.2687102 41.804285, 12.2690213 41.8046049, 12.2696758 41.8049088)",Linea 46,
"LINESTRING (12.2553511 41.7976308, 12.2552204 41.7978126, 12.2553921 41.7982445, 12.2556281 41.7986764, 12.2558963 41.7990044, 12.2563469 41.7993163, 12.2570443 41.7993883, 12.2581386 41.7993243, 12.2586858 41.7993483, 12.2590184 41.7997402, 12.259351 41.8001001, 12.2599089 41.8008279, 12.2600806 41.8013078, 12.2604561 41.8016837, 12.260896 41.8022036, 12.2617221 41.8024835, 12.2623551 41.8028194, 12.2630203 41.8029794, 12.263428 41.8032433, 12.2642326 41.8033552, 12.2657347 41.8033552, 12.2661745 41.8035152, 12.2664749 41.8035312, 12.2669792 41.8035872, 12.2675371 41.8036832, 12.267977 41.8038591, 12.2686851 41.804147, 12.2692323 41.8045389, 12.269758 41.8048268)",Linea 47,
"LINESTRING (12.2555469 41.7979557, 12.2554432 41.7980803, 12.2553921 41.7982445, 12.2555827 41.7983602, 12.25569 41.7985602, 12.2558831 41.7986881, 12.2560762 41.7988641, 12.25628 41.799088, 12.2565483 41.799184, 12.257192 41.79924, 12.2578357 41.799248, 12.2584151 41.799224, 12.2587048 41.799232, 12.2591876 41.799368, 12.2593485 41.7996239, 12.2596167 41.8001038, 12.2598098 41.8003198, 12.2600137 41.8006477, 12.2601853 41.8009676, 12.2614988 41.8012116, 12.2629196 41.8015195, 12.2636369 41.8017835, 12.2642989 41.8020076, 12.2648291 41.8022158, 12.2657393 41.8024722, 12.2664224 41.802793, 12.2671665 41.8030826, 12.2679036 41.8033101, 12.2681547 41.803525, 12.2684852 41.803747, 12.2690176 41.8040149, 12.2692886 41.8043108, 12.2694871 41.8045347, 12.2697555 41.8047745)",Linea 48,
"LINESTRING (12.255883 41.7983889, 12.2561003 41.7986229, 12.2565509 41.7989268, 12.2571624 41.7991028, 12.2580636 41.7990708, 12.2588147 41.7990868, 12.2594477 41.7993107, 12.259673 41.7997826, 12.2599519 41.8001905, 12.2601236 41.8006224, 12.2604025 41.8008463, 12.2614218 41.8010703, 12.2660109 41.8021347, 12.2669094 41.8024313, 12.2678053 41.8028964, 12.2684812 41.8033468, 12.2690498 41.8036497, 12.2695326 41.8040975, 12.2698761 41.8046293)",Linea 50,
"LINESTRING (12.2566399 41.7979973, 12.2567337 41.7980193, 12.2573238 41.7979953, 12.2578066 41.7982352, 12.258622 41.7984832, 12.259019 41.7986911, 12.2597271 41.7989631, 12.2602528 41.799035, 12.2618299 41.799115, 12.2622698 41.7994989, 12.2624307 41.8000348, 12.262935 41.8006427, 12.2632461 41.8009146, 12.2635895 41.8010106, 12.26448 41.8011465, 12.2648233 41.8011545, 12.2653275 41.8012105, 12.2655421 41.8015864, 12.2658318 41.8020023, 12.2665935 41.8021063, 12.2671944 41.8022982, 12.267881 41.8023302, 12.2683316 41.8024982, 12.2684389 41.8028021, 12.2683423 41.803042, 12.2688681 41.8033059, 12.2695547 41.8036738, 12.270059 41.8039857, 12.270059 41.8046255)",Linea 51,
"LINESTRING (12.2563322 41.797572, 12.256938 41.797666, 12.2574315 41.79773, 12.2576246 41.7980099, 12.2582683 41.7980899, 12.2588155 41.7982819, 12.2589764 41.7984338, 12.2594914 41.7986338, 12.2598777 41.7987138, 12.2603068 41.7988737, 12.2608969 41.7988737, 12.2614655 41.7988977, 12.2622273 41.7990257, 12.2624418 41.7992816, 12.2626993 41.7997455, 12.2630212 41.8001374, 12.2633645 41.8005533, 12.2636542 41.8007373, 12.264416 41.8008653, 12.2653708 41.8010092, 12.2656927 41.8011372, 12.2658858 41.8014971, 12.266154 41.801793, 12.2664437 41.801905, 12.2669265 41.802057, 12.2675166 41.8020969, 12.267935 41.8022169, 12.2684715 41.8023609, 12.2686217 41.8026248, 12.2689864 41.8027848, 12.2690723 41.8030807, 12.2694585 41.8034166, 12.269952 41.8037125, 12.2703383 41.8040244, 12.2703168 41.8044563, 12.270231 41.8046562)",Linea 52,
"LINESTRING (12.2560266 41.7972604, 12.2569722 41.7974375, 12.2576696 41.7976135, 12.2582382 41.7978854, 12.2589892 41.7981334, 12.2598154 41.7983413, 12.260502 41.7985893, 12.2609312 41.7986852, 12.2619289 41.7988132, 12.2626263 41.7990052, 12.2631306 41.7995011, 12.2634954 41.799877, 12.2638601 41.8003969, 12.2649652 41.8006128, 12.2658235 41.8009247, 12.2662956 41.8012766, 12.2674758 41.8013566, 12.2680337 41.8016445, 12.2684092 41.8019325, 12.2687203 41.8022604, 12.2692031 41.8026123, 12.2693211 41.8028122, 12.2695035 41.8031401, 12.2699756 41.8032521, 12.2709948 41.803492, 12.2712308 41.8037239, 12.2710699 41.8040758, 12.2705442 41.8041718, 12.2704369 41.8046597)",Linea 53,
"LINESTRING (12.2558084 41.7969071, 12.2566096 41.7971128, 12.2574464 41.7973128, 12.2580365 41.7975687, 12.2584764 41.7978407, 12.25956 41.7980886, 12.2598819 41.7981766, 12.2607509 41.7984326, 12.261577 41.7985845, 12.2621564 41.7987845, 12.2626177 41.7988725, 12.2630684 41.7990564, 12.2635726 41.7996163, 12.263991 41.8000802, 12.2642271 41.8002801, 12.2647313 41.8004081, 12.2655253 41.8005121, 12.266051 41.800768, 12.2665981 41.800816, 12.2670917 41.800944, 12.2675959 41.80096, 12.2678641 41.801, 12.2682289 41.8014958, 12.268583 41.8017678, 12.2689692 41.8019517, 12.2694091 41.8020077, 12.2698061 41.8021917, 12.2697739 41.8024316, 12.2696666 41.8027115, 12.2697095 41.8030714, 12.2697417 41.8032074, 12.2701172 41.8032953, 12.270482 41.8033593, 12.270836 41.8034473, 12.2710613 41.8035433, 12.2712308 41.8037239, 12.2710699 41.8040758, 12.2709755 41.804303, 12.2707717 41.8046229)",Linea 54,
"LINESTRING (12.2555711 41.7964982, 12.2563628 41.7967449, 12.2575108 41.7970489, 12.2582082 41.7974088, 12.2590343 41.7978327, 12.2601501 41.7980646, 12.2616092 41.7984326, 12.2621671 41.7985925, 12.262886 41.7983286, 12.2632722 41.7981286, 12.2637872 41.7980327, 12.2640554 41.7986165, 12.2642056 41.7990804, 12.2645275 41.7996163, 12.2651068 41.8000402, 12.2661046 41.8005121, 12.2670166 41.80072, 12.2681216 41.800904, 12.2705464 41.8015278, 12.2708146 41.8017278, 12.2713832 41.8019197, 12.2724454 41.8021117, 12.27325 41.8023356, 12.2738294 41.8026715, 12.2738294 41.8028955, 12.2735504 41.8031914, 12.2734217 41.8039432, 12.273132 41.8041591, 12.272735 41.8040951, 12.2723595 41.804351, 12.2718982 41.804519, 12.2714368 41.804375, 12.2709433 41.8047429)",Linea 55,
"LINESTRING (12.2553431 41.7961323, 12.2559366 41.7961982, 12.2563358 41.796464, 12.2565481 41.7965661, 12.2570416 41.7967101, 12.2578785 41.797038, 12.2582755 41.797294, 12.258533 41.7975179, 12.2590587 41.7977339, 12.2594985 41.7978618, 12.2603998 41.7979978, 12.2610971 41.7981738, 12.26217 41.7983977, 12.2624168 41.7983018, 12.2632 41.7981338, 12.2635219 41.7979978, 12.2639188 41.7979418, 12.2642514 41.7982778, 12.2642836 41.7985417, 12.2645196 41.7990616, 12.2654531 41.7994855, 12.2658178 41.7999014, 12.2666869 41.8002453, 12.2675666 41.8005172, 12.268264 41.8006612, 12.2691545 41.8009731, 12.269766 41.8011251, 12.2703561 41.801373, 12.2706458 41.801429, 12.2711286 41.801605, 12.2716221 41.8017729, 12.2724161 41.8019969, 12.2732207 41.8021408, 12.2736821 41.8023008, 12.2741112 41.8025887, 12.2741541 41.8030606, 12.2738001 41.8035644, 12.2737035 41.8041003, 12.2734568 41.8043082, 12.2725663 41.8045961, 12.2719225 41.8046281, 12.2714612 41.8046521, 12.2711608 41.804804)",Linea 56,
"LINESTRING (12.259492 41.7972813, 12.2600035 41.7975608, 12.2608404 41.7974569, 12.2616021 41.7976648, 12.2622351 41.7977688, 12.2626428 41.7977688, 12.2632222 41.7977288, 12.2638444 41.7977448, 12.2646491 41.7980248, 12.2647671 41.7982007, 12.2651534 41.7987766, 12.2655181 41.7992085, 12.2657649 41.7996324, 12.2663228 41.7998403, 12.2671704 41.8001363, 12.2685651 41.8004002, 12.2687261 41.8006002, 12.2693912 41.8008241, 12.2699491 41.801064, 12.2705178 41.801256, 12.2711615 41.80144, 12.2715048 41.8015759, 12.2719662 41.8017039, 12.2723309 41.8018398, 12.2728888 41.8019518, 12.2741763 41.8021678, 12.2742621 41.8024157, 12.2741978 41.8027036, 12.273951 41.8030875, 12.2742729 41.8033914, 12.2738759 41.8039672, 12.2737364 41.8045351, 12.2729639 41.804655, 12.2723524 41.804823, 12.2718052 41.804871, 12.2715692 41.8049189)",Linea 57,
