WKT,nome,descrizione
"LINESTRING (12.2536497 41.7957847, 12.2536379 41.795758, 12.2536205 41.795736, 12.2535937 41.795715, 12.2535628 41.795705, 12.2535387 41.795699, 12.253536 41.795723, 12.2535602 41.795741, 12.2535803 41.795765, 12.253595 41.795789, 12.2536219 41.795818, 12.2536567 41.795846, 12.2536581 41.795886, 12.2536098 41.795895, 12.2535843 41.795879, 12.253591 41.795841, 12.2535521 41.79582, 12.2534998 41.795834, 12.253473 41.795821, 12.2534368 41.795809, 12.2534421 41.79579, 12.2534851 41.795773, 12.2534556 41.795758, 12.2534368 41.795737, 12.2534301 41.795718, 12.2533912 41.795709, 12.2533389 41.795732, 12.2532785 41.79576, 12.2532517 41.795754, 12.253194 41.79575, 12.2531766 41.795777, 12.2532517 41.795788, 12.2532732 41.795813, 12.2532423 41.795859, 12.2531753 41.795854, 12.25319 41.7959, 12.2532598 41.79593, 12.2532678 41.795887, 12.2533174 41.79587, 12.2533402 41.795818, 12.2533711 41.795796, 12.2534059 41.795814, 12.2534167 41.795847, 12.2533965 41.795883, 12.2533644 41.795897, 12.2533429 41.795911, 12.2533335 41.795939, 12.2533134 41.79596, 12.2532866 41.795984, 12.2532517 41.796002, 12.2532866 41.796043, 12.2532866 41.796074, 12.2532906 41.79612, 12.253308 41.796143, 12.2533147 41.796181, 12.2533308 41.796218, 12.2533416 41.79625, 12.2533992 41.796231, 12.2533778 41.796154, 12.253359 41.796072, 12.2533442 41.796028, 12.2533469 41.795978, 12.2533737 41.795935, 12.2534126 41.795944, 12.253481 41.795992, 12.2535494 41.795973, 12.2535883 41.795956, 12.2536178 41.796, 12.2536943 41.796014, 12.2537426 41.796038, 12.2537694 41.796082, 12.2537949 41.79611, 12.2538177 41.796146, 12.2538391 41.796153, 12.2538552 41.796182)",Linea 28,
"LINESTRING (12.2536621 41.795779, 12.2536098 41.795749, 12.2536098 41.795712, 12.2535481 41.795714, 12.2534743 41.795745, 12.2535186 41.795771, 12.2534851 41.795796, 12.2534153 41.795788, 12.2533496 41.795784, 12.2533268 41.795811, 12.2533322 41.79585, 12.2533778 41.795857, 12.2533536 41.795906, 12.2534381 41.795929, 12.2534944 41.795946, 12.2535172 41.795974, 12.2535991 41.795992, 12.2535736 41.796041, 12.2535347 41.796091, 12.2535347 41.796137, 12.2535535 41.796181, 12.2535588 41.796238, 12.2535602 41.7962879)",Linea 29,
"LINESTRING (12.2536726 41.7957823, 12.2535921 41.7957264, 12.2535599 41.7957254, 12.2535291 41.7957563, 12.2534674 41.7957593, 12.2534017 41.7957823, 12.2533628 41.7957953, 12.2533158 41.7958173, 12.2533132 41.7958513, 12.2533587 41.7958763, 12.2534513 41.7959083, 12.2534768 41.7959503, 12.2534526 41.7959843, 12.253395 41.7959973, 12.2533869 41.7960393, 12.2534567 41.7960503, 12.2534862 41.7960163, 12.2535425 41.7960113, 12.2535143 41.7960483, 12.2534687 41.7960973, 12.2534352 41.7961333, 12.2534499 41.7961593, 12.2535197 41.7961733, 12.2535626 41.7961813, 12.2536042 41.7961913, 12.2536216 41.7961483, 12.2536377 41.7960913, 12.2536793 41.7960843, 12.2536967 41.7960473, 12.2537249 41.7960393, 12.2537651 41.7960653, 12.2537946 41.7961023, 12.2538335 41.7961323, 12.2538429 41.7961613, 12.2538643 41.7961803)",Linea 31,
"LINESTRING (12.2550047 41.7956187, 12.2549506 41.7956384, 12.2549319 41.7956654, 12.254905 41.7956834, 12.2548688 41.7956964, 12.2547591 41.7957439, 12.2547084 41.7957594, 12.2546633 41.7957785, 12.2546241 41.7957926, 12.2545832 41.7958128, 12.2545389 41.7958333)",Linea 32,
"LINESTRING (12.2550436 41.7956557, 12.2550298 41.7956894, 12.2550606 41.7957224, 12.2549721 41.7957374, 12.2549345 41.7957523, 12.2548943 41.7957703, 12.2548608 41.7957943, 12.2548286 41.7957983, 12.2547897 41.7958063, 12.2546633 41.7957785, 12.2545932 41.7958118, 12.2545389 41.7958333)",Linea 33,
"LINESTRING (12.2550886 41.7957121, 12.2550096 41.7957364, 12.2549493 41.7957563, 12.2549185 41.7957793, 12.2548876 41.7957903, 12.2548514 41.7958043, 12.2548299 41.7958253, 12.2547964 41.7958413, 12.2547629 41.7958303, 12.2548112 41.7958153, 12.2548474 41.7958363, 12.2548085 41.7958553, 12.2547696 41.7958563, 12.2547334 41.7958113, 12.2547106 41.7957873, 12.2546797 41.7957713, 12.2546261 41.7957793, 12.2545832 41.7958128, 12.2545389 41.7958333)",Linea 34,
"LINESTRING (12.2545389 41.7958333, 12.2545497 41.7958633, 12.2545845 41.7958903, 12.2545885 41.7959143, 12.2546368 41.7959033, 12.2546663 41.7958853, 12.2546569 41.7958483, 12.2546851 41.7958523, 12.2547133 41.7958673, 12.2546945 41.7959113, 12.254606 41.7959313, 12.2546368 41.7959633, 12.2547025 41.7959583, 12.2547951 41.7959293, 12.254846 41.7959033, 12.2548273 41.7958713, 12.2548769 41.7958593, 12.254956 41.7958323, 12.2550257 41.7958023, 12.2550646 41.7957753, 12.2550995 41.7958123, 12.255062 41.7958383, 12.2549936 41.7958553, 12.2549024 41.7958903, 12.2548809 41.7959133, 12.2549359 41.7959203, 12.2550177 41.7958853, 12.2550713 41.7958633, 12.255129 41.7958303, 12.2552021 41.7959323)",Linea 35,
"LINESTRING (12.2535602 41.7962879, 12.2535371 41.7963152, 12.2534567 41.7963452, 12.2534285 41.7963862, 12.2534245 41.7964252, 12.2534178 41.7964742, 12.2533574 41.7964752, 12.2533427 41.7964332, 12.2533105 41.7964112, 12.2532434 41.7964442, 12.2532126 41.7964172, 12.2531643 41.7964032, 12.2531348 41.7964652, 12.2530731 41.7964732, 12.2530503 41.7965052, 12.2530275 41.7965472, 12.2529886 41.7965562, 12.2529229 41.7965872, 12.2527284 41.7966402, 12.2525593 41.7967144, 12.2524599 41.7967485, 12.2524005 41.7967829, 12.2523274 41.7968197, 12.2522537 41.7968651)",Linea 36,
"LINESTRING (12.2538552 41.796182, 12.2539637 41.7961656, 12.2540012 41.7962176, 12.2538698 41.7962856, 12.2538805 41.7963406, 12.2537692 41.7963576, 12.2537263 41.7963376, 12.2537102 41.7962756, 12.2538094 41.7962606, 12.253851 41.7962956, 12.2539275 41.7963056, 12.2540039 41.7962576, 12.2540508 41.7962356, 12.2541179 41.7961896, 12.2541809 41.7961656, 12.2542399 41.7961526, 12.2543204 41.7961436, 12.2544143 41.7961796, 12.2544357 41.7962256, 12.2544827 41.7962446, 12.254531 41.7962606, 12.2545578 41.7962816, 12.2545538 41.7963046, 12.2545404 41.7963346, 12.25448 41.7963586, 12.2543754 41.7964066, 12.2543043 41.7964386, 12.2542051 41.7964846, 12.254142 41.7965046, 12.2540897 41.7964436, 12.2540267 41.7963766, 12.2541206 41.7963216, 12.2542104 41.7963336, 12.2542654 41.7963946, 12.2543445 41.7963596, 12.2543352 41.7962996, 12.2542922 41.7962356, 12.254303 41.7962026, 12.2544679 41.7961366, 12.2545256 41.7961086, 12.2545712 41.7960896, 12.2545927 41.7960367, 12.2545041 41.7960157, 12.2543942 41.7960197, 12.2544026 41.7960777, 12.2545055 41.7960866, 12.2546369 41.7960637, 12.2547563 41.7960237, 12.2548475 41.7960157, 12.2547925 41.7959427, 12.2547536 41.7959367, 12.2547107 41.7959077, 12.2546973 41.7958847)",Linea 38,
"LINESTRING (12.2552614 41.795895, 12.2552927 41.7957997, 12.2553906 41.7957737, 12.2555046 41.7957167, 12.2555985 41.7956657, 12.2556749 41.7956437, 12.2557621 41.7956007, 12.255852 41.7956147, 12.2559552 41.7955757, 12.2559673 41.7955447, 12.2559673 41.7955147, 12.2560209 41.7954838, 12.2561161 41.7954528, 12.2561886 41.7954148, 12.256292 41.7953785, 12.2563866 41.7953524, 12.2564755 41.7953393, 12.256587 41.7953378, 12.2566932 41.7953703, 12.2567605 41.7954158, 12.2568202 41.7954548, 12.2568323 41.7955067)",Linea 39,
"LINESTRING (12.2553209 41.7957507, 12.2554644 41.7957437, 12.2555046 41.7956577, 12.2556106 41.7956817, 12.2556173 41.7957267, 12.255683 41.7957517, 12.2556843 41.7957937, 12.2556454 41.7958187, 12.2555784 41.7958147, 12.2555462 41.7957727, 12.2556267 41.7957467, 12.2557165 41.7957027, 12.2558117 41.7956607, 12.2558734 41.7956307, 12.2559472 41.7956048, 12.2559727 41.7955778, 12.2560625 41.7955738, 12.256029 41.7956128, 12.2561148 41.7956188, 12.2560907 41.7955928, 12.2561215 41.7955378, 12.2561443 41.7955318, 12.2561832 41.7955528, 12.25621 41.7955418, 12.2562637 41.7955178, 12.2562784 41.7954938, 12.256316 41.7954928, 12.2563388 41.7954333, 12.2564132 41.7954415, 12.2564759 41.7954747, 12.2565301 41.7954722, 12.2565759 41.795466, 12.2566337 41.7954259, 12.2567371 41.7954238, 12.2568229 41.7955008)",Linea 40,
"LINESTRING (12.256062 41.7955072, 12.2561237 41.7954632, 12.2562108 41.7954462, 12.2562309 41.7953923, 12.2561961 41.7953433, 12.2561558 41.7953373, 12.2561344 41.7953033, 12.2561585 41.7952713, 12.2562081 41.7952723, 12.2562296 41.7952883, 12.25629 41.7953003, 12.2563449 41.7952523, 12.256349 41.7952073, 12.2564133 41.7951723, 12.2565434 41.7951183, 12.256589 41.7951243, 12.2566453 41.7951733, 12.2566507 41.7952193, 12.2565622 41.7952623, 12.2564643 41.7952733, 12.2563838 41.7952593, 12.2563946 41.7952203, 12.2564978 41.7951683, 12.2565662 41.7951493, 12.2565971 41.7951943, 12.2565515 41.7952333, 12.2566091 41.7952653, 12.2566655 41.7953133, 12.2566668 41.7953393, 12.2567352 41.7953803, 12.2567929 41.7954132, 12.2568076 41.7954642, 12.2568323 41.7955067)",Linea 41,
"LINESTRING (12.2545096 41.7960393, 12.2546517 41.7960433, 12.2547805 41.7960762, 12.2548636 41.7961332, 12.2549025 41.7961762, 12.2549723 41.7962562, 12.2550299 41.7963372, 12.2550621 41.7963722, 12.2551024 41.7964162, 12.2550085 41.7964312, 12.2549401 41.7964582, 12.2549106 41.7964542, 12.2548931 41.7964282, 12.2549307 41.7964102, 12.2550635 41.7963712, 12.2551426 41.7963792, 12.255156 41.7964292, 12.2552177 41.7965022, 12.2551948 41.7965646, 12.2552336 41.7966349, 12.2552845 41.7967017, 12.2553217 41.7967513, 12.2553614 41.7968085, 12.2554032 41.7968689, 12.2554412 41.7969417, 12.2554878 41.7970232, 12.2555567 41.7971423, 12.2556354 41.7972385, 12.2557072 41.797341, 12.2557756 41.797446, 12.2558265 41.7976275, 12.2558882 41.7976889, 12.2559472 41.7977799, 12.2560505 41.7978429)",Linea 42,
"LINESTRING (12.2550588 41.7963642, 12.2551486 41.7962922, 12.2552103 41.7962582, 12.2552438 41.7962212, 12.2552894 41.7961822, 12.2553002 41.7961662, 12.2553203 41.7961503, 12.2553431 41.7961323, 12.2553726 41.7961223, 12.2553779 41.7961582, 12.255382 41.7961812, 12.2553927 41.7962032, 12.2554034 41.7962202)",Linea 43,
"LINESTRING (12.2552116 41.7965892, 12.2553002 41.7965372, 12.2553525 41.7965182, 12.2554101 41.7964952, 12.2554557 41.7964772, 12.2555214 41.7964572, 12.2555737 41.7964402, 12.2555778 41.7964672, 12.2555711 41.7964982, 12.2555737 41.7965202, 12.2555724 41.7965392)",Linea 44,
"LINESTRING (12.2554436 41.7969341, 12.2554973 41.7969171, 12.2555818 41.7968851, 12.2556314 41.7968681, 12.255685 41.7968521, 12.255728 41.7968381, 12.2557856 41.7968281, 12.2558098 41.7968181, 12.2558084 41.7968561, 12.2558044 41.7968781, 12.2558084 41.7969071)",Linea 45,
"LINESTRING (12.2556632 41.7972734, 12.2557383 41.7972624, 12.255808 41.7972424, 12.2558469 41.7972274, 12.2558858 41.7972134, 12.2559193 41.7971944, 12.2559622 41.7971874, 12.2559984 41.7971744, 12.2560199 41.7971734, 12.2560239 41.7972044, 12.2560226 41.7972354, 12.2560266 41.7972604)",Linea 46,
